"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
29,36,1.72425156531218,0.0295663227191023,1.66678431342609,1.67590922089374,1.70421833921207,1.72408257369024,1.74410057033505,1.77317035571946,1.78267917909817
30,37,1.73953162512923,0.0272601627325749,1.68650844947267,1.69493682356041,1.72106813143966,1.73938922939349,1.75783989026051,1.78461215154707,1.79336402151227
31,38,1.71024709563716,0.0248018228364699,1.6619779736152,1.66965722804483,1.69345381281636,1.71012720599258,1.72690968414972,1.75124591767294,1.75919753882409
32,39,1.72165775805939,0.0228339785843876,1.67719150730345,1.68427216218719,1.70620194414359,1.72155681172044,1.73700352808692,1.75938769098115,1.76669767727017
33,40,1.72515813099367,0.0209762142368416,1.68428760860188,1.6908009358688,1.71096393086255,1.72507311507528,1.73925965328706,1.75980532302729,1.76651179094502
34,41,1.72271754444456,0.019249742740414,1.68519288386174,1.69117729221938,1.70969500477229,1.72264584573905,1.73566192364142,1.75450236734394,1.76064966222272
35,42,1.70549853452117,0.017576855742911,1.67122042388827,1.67669052998708,1.69361044250372,1.70543815258457,1.71732080271495,1.73451250720226,1.74011979026614
36,43,1.7065112293388,0.0161452095782434,1.67501212423131,1.68004184593311,1.69559387575562,1.70646031329341,1.7173730780756,1.73315429188101,1.73829968581147
37,44,1.69777315634865,0.0147996593097701,1.66888874214762,1.67350344753634,1.68776763631951,1.69773015316955,1.70773179752863,1.72218955280007,1.72690195384012
38,45,1.71145247493625,0.0136684577200125,1.6847663332772,1.68903209409508,1.70221351378421,1.71141608751426,1.72065176923124,1.73399697647728,1.73834540315093
39,46,1.71751235197239,0.012588336652279,1.69292717049288,1.69685896727967,1.70900496750526,1.71748159708146,1.72598620974032,1.7382706443002,1.74227231084549
40,47,1.71095567827116,0.0115447103691348,1.68840233337239,1.6920107088187,1.703154800813,1.71092971228042,1.71872824952816,1.72998921999562,1.73365658567187
41,48,1.70395925743388,0.0105817609912818,1.68328169803501,1.68659124873956,1.69681007878474,1.70393735287849,1.71108455735413,1.72140198448524,1.72476129855627
42,49,1.69306632383271,0.00969240419481597,1.6741221695976,1.67715534491514,1.68651885426473,1.6930478282949,1.6995936309283,1.70904039264791,1.7121155866424
43,50,1.69410591436926,0.00891869425143632,1.67667010879835,1.679462709621,1.68808184607934,1.69409026344373,1.70011292117144,1.70880250579237,1.7116306628298
44,51,1.69613932442353,0.00821300345434318,1.68007983363467,1.68265278279836,1.69059253589518,1.69612606817525,1.70167166196367,1.70967108426917,1.71227414935729
45,52,1.70122357778497,0.0075707953245867,1.68641702844858,1.68878991119712,1.69611105097941,1.7012123472653,1.70632386190181,1.71369555265539,1.71609394922376
46,53,1.6938746820171,0.00694993500343301,1.68028008829302,1.68245929060732,1.68918185553635,1.69386517687703,1.69855714669067,1.70532249628859,1.7075232926579
47,54,1.69296825705639,0.00639256602630369,1.68046193592176,1.68246716232933,1.68865216239107,1.69296021105677,1.69727558056199,1.70349679738945,1.70552030293597
48,55,1.6940695709514,0.00588452768727146,1.68255548111156,1.684402018899,1.69009681225747,1.69406275744899,1.69803490206346,1.70376036445415,1.70562238135841
49,56,1.69931364445993,0.00542513146688797,1.68869699632497,1.69039995478468,1.69565130884814,1.69930787114203,1.70296968642263,1.70824702742534,1.70996310188083
50,57,1.702541382141,0.00499704620408571,1.69276125044646,1.69433031917776,1.69916826623501,1.70253649328126,1.70590916856932,1.71076912143041,1.71234929681972
51,58,1.70180222795461,0.00459538883963003,1.69280719027442,1.69425054720093,1.6987004348368,1.70179809163585,1.7048995119598,1.7093680180516,1.7108207719915
52,59,1.69957945758277,0.00422322571132916,1.69131203133121,1.69263884064283,1.69672903166741,1.69957595953529,1.70242607018214,1.70653200666703,1.70786676294846
53,60,1.6968704849278,0.00388100770647498,1.68927226046251,1.69049184570974,1.69425117475269,1.69686752610521,1.69948656961046,1.70325921694711,1.70448552413705
54,61,1.69749811345276,0.0035710301526953,1.69050614105702,1.69162856555275,1.69508812724678,1.69749560932568,1.6999053698421,1.70337620314808,1.7045043165957
55,62,1.6965165419123,0.00328464766033534,1.69008477628253,1.69111739514894,1.69429992680796,1.69651442209647,1.69873084614804,1.70192291955182,1.70296035428026
56,63,1.69807277516285,0.00302370365344319,1.6921515262219,1.69310228812484,1.69603234097096,1.69807098042586,1.70011125286335,1.7030493842048,1.70400422344588
57,64,1.69599990520022,0.0027802567322503,1.69055502024269,1.69142938240394,1.69412382337239,1.69599838597328,1.69787433087762,1.70057561021172,1.70145342379907
58,65,1.69193156675822,0.00255509415362194,1.68692732993642,1.68773100569191,1.6902074815927,1.69193028055465,1.69365424979838,1.69613651517673,1.69694311296875
59,66,1.69256925501697,0.00235188425835477,1.68796274267525,1.68870260847514,1.69098233998745,1.69256816567525,1.69415498252556,1.69643961739814,1.69718195799785
60,67,1.69410207580959,0.00216584328977791,1.68985972418924,1.69054115549935,1.6926407340604,1.69410115282768,1.69556241139117,1.69766614449135,1.69834967266
61,68,1.69673992089149,0.00199523831924062,1.69283154837696,1.6934593803238,1.69539372714921,1.69673913880824,1.69808526206361,1.70002312921315,1.70065273792065
62,69,1.69434732516607,0.00183487657590564,1.69075291558208,1.69133035187049,1.69310935896174,1.69434666281234,1.69558456932064,1.69736655780781,1.69794549885171
63,70,1.69454625844696,0.00168861192773803,1.69123823394568,1.69176969596047,1.69340700148942,1.69454569754753,1.69568490395281,1.69732473421015,1.69785747049345
64,71,1.69332104224265,0.00155338918406271,1.69027780532541,1.6907667548107,1.69227303841125,1.69332056723569,1.69436852825607,1.69587694996463,1.69636697858529
