"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
53,60,1.98914423046545,0.00788833819207095,1.97371302254881,1.97618687779664,1.98381795873526,1.98913380289557,1.99445913482279,2.0021371524843,2.00463469739119
54,61,1.9904738547702,0.00734352221686864,1.97610649380264,1.97841025781288,1.98551581415188,1.99046482387622,1.99542205056894,2.00256825689392,2.00489253755564
55,62,1.98677550444878,0.00682841526772393,1.97341429885577,1.97555711900559,1.98216555423831,1.98676768151788,1.99137692667223,1.99802057459076,2.00018116710714
56,63,1.98903540651326,0.00635977870749342,1.97658974069965,1.97858607486163,1.98474211433798,1.98902862822589,1.9933213094952,1.99950785949341,2.00151959277074
57,64,1.99241171420789,0.00592520621801118,1.98081522209851,1.98267564527865,1.98841202827249,1.99240584058079,1.99640499714423,2.00216781859056,2.00404158565262
58,65,1.99425298104372,0.00551798350071469,1.9834524004493,1.98518539420179,1.99052838891298,1.99424789173152,1.99797202517804,2.00333792797258,2.00508248377746
59,66,1.99719466608184,0.00513971590527258,1.9871335417545,1.98874811208993,1.99372558139442,1.99719025711934,2.00065894444027,2.00565625942857,2.00728084617791
60,67,1.9927893508676,0.00477790975447857,1.98343567466755,1.98493690669017,1.98956462175249,1.99278553236502,1.99600991732992,2.00065482028958,2.00216472730176
61,68,1.99350773719207,0.00444692569680079,1.98480132233027,1.98619883920701,1.99050653180127,1.99350443060139,1.99650533797901,2.00082791424561,2.00223294313521
62,69,1.9973110834919,0.00414187395095223,1.98920129797843,1.99050319362713,1.99451587361353,1.99730822045676,2.00010317229824,2.00412873941857,2.0054371393974
63,70,1.99828026593663,0.003854933666761,1.99073178089827,1.99194369497129,1.99567880330111,1.9982777870534,2.00087902627447,2.00462529258825,2.00584283826355
64,71,1.9977737449703,0.00358653446607881,1.99075036708505,1.99187808355385,1.9953534958035,1.99777159871007,2.00019165444072,2.00367672746705,2.00480931987518
65,72,1.99731394885116,0.00333675364122029,1.99077931334529,1.99182864850402,1.99506233105375,1.99731209070178,1.99956354102961,2.00280558750741,2.00385914406655
66,73,1.99771589618226,0.0031048557123757,1.99163506265579,1.99261160788344,1.99562082699981,1.99771428765731,1.99980921186809,2.00282567129957,2.00380587082329
67,74,1.99714299227072,0.00288823502632315,1.99148611285812,1.99239464423529,1.99519414919498,1.99714159996505,1.99909031755633,2.00189608958185,2.00280778404158
68,75,1.9983597240643,0.00268794690235978,1.99309487020537,1.9939405012679,1.99654607513458,1.9983585188996,2.00017205921131,2.00278305778226,2.00363142677479
69,76,1.99855279110927,0.00250094745786921,1.99365398907952,1.99444087862278,1.99686535954704,1.99855174789813,2.00023908543876,2.00266826207966,2.0034575216219
70,77,1.99790872235119,0.002326484829588,1.99335146234752,1.99408353612185,1.99633904035623,1.99790781931841,1.99947741992563,2.00173698890386,2.00247111421571
71,78,1.9991171649364,0.00216517543951879,1.99487572059097,1.99555710194207,1.99765635054354,1.99911638326063,2.0005771272033,2.00267989429473,2.0033630514808
72,79,2.00128848886237,0.00201547086959033,1.99734016138469,1.99797448863795,1.9999287058881,2.00128781227783,2.00264753427348,2.00460479697549,2.00524066131424
73,80,2.00174086007837,0.00187522406090373,1.99806715260587,1.99865739001472,2.00047572170009,2.00174027451055,2.00300536011328,2.00482632756475,2.00541789528452
74,81,2.0017450638321,0.0017444615055834,1.99832742224244,1.99887654453965,2.00056816637912,2.00174455708329,2.00292140886445,2.00461531168881,2.00516558523351
75,82,2.00182040242824,0.00162276646603559,1.99864108475127,1.99915193720416,2.00072562420249,2.00181996393221,2.00291470263756,2.00449036340039,2.00500221204201
76,83,2.00228675300279,0.00150964372955771,1.9993289838705,1.99980425729645,2.00126830708693,2.00228637359923,2.00330478532053,2.00477054288761,2.00524667825419
77,84,2.00222912294191,0.00140418683930223,1.99947790015845,1.99992000111944,2.00128183447489,2.00222879468434,2.00317605356645,2.0045393644795,2.00498221118612
78,85,2.00128904128468,0.00130580545270095,1.99873051671046,1.99914166694154,2.00040813415852,2.00128875727975,2.00216963880937,2.00343738439331,2.00384917983549
79,86,2.0008561384128,0.00121448965779445,1.99847648072021,1.99885889987787,2.00003684370566,2.00085589268713,2.00167516524772,2.00285421513931,2.00323719254407
