"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
25,31,2.38048067755476,0.0858423287469326,2.21518368409262,2.24106425622178,2.32203223229586,2.37944890592483,2.43780439507818,2.52341658533888,2.55164104778911
26,32,2.0103699893051,0.0673499287304629,1.88051644592873,1.90088671096149,1.96454251690426,2.00961793684442,2.0553776506219,2.1224185988939,2.14449732422138
27,33,1.72293424027567,0.0525245773266233,1.62151287090816,1.63745885868869,1.68722203403069,1.72240052301427,1.7580646396075,1.81023018660676,1.82738864524073
28,34,1.5695546640172,0.0444292674975305,1.48367214470021,1.49719697183254,1.53936345856343,1.56913546526869,1.59928889817695,1.64334228551131,1.65781943116192
29,35,1.50529380570051,0.0394088379106734,1.42903570468524,1.4410638670215,1.47852881869523,1.50494990973276,1.53168390843917,1.57069680758568,1.58350622224204
30,36,1.41875500341231,0.0350979200242556,1.35079038682413,1.3615218852063,1.39492670385762,1.41846559020569,1.44226781032986,1.47697533835404,1.48836431869218
31,37,1.38743172051241,0.0321876125231055,1.32505538183253,1.33491572509961,1.36558796375637,1.38718281712868,1.40900414437856,1.44079674937045,1.4512225469979
32,38,1.12095407676904,0.0270443308968516,1.06856883775387,1.07684413013401,1.10259634191354,1.12073659221272,1.1390747290619,1.16580588436798,1.17457525351073
33,39,1.04014337307261,0.0250655150446246,0.991590456065414,0.999260515988639,1.02312898507751,1.03994203595085,1.05693828101307,1.08171301064661,1.0898404639604
34,40,1.09583039789714,0.0254706562127237,1.04647190748363,1.05427415909526,1.07854483063527,1.09563306396805,1.11290084882802,1.13805976176845,1.14631031311802
35,41,1.03985436277955,0.0244756320197348,0.992430966899013,0.999925700686757,1.02324279775489,1.0396623368854,1.05625659790049,1.08043804376929,1.08836901835806
36,42,0.981616740189592,0.0234852670891005,0.936120945078673,0.943308982152435,0.965675733582086,0.981429450848585,0.99735358035971,1.02056336034381,1.02817687749805
37,43,0.932438402298553,0.0228926969158336,0.888104236245114,0.895105496501701,0.916897092783119,0.93225105950402,0.947775487252654,0.970410352648331,0.977837213910537
38,44,0.875566365866329,0.0224062693104298,0.832196470267827,0.839040180450472,0.860351193957793,0.875375243321234,0.890573193119768,0.9127444891094,0.920022386155136
39,45,1.08480224921643,0.0254631578493551,1.03546386788434,1.04326161802922,1.06752074310632,1.0846030266593,1.10186658023205,1.12702244780329,1.13527278804677
40,46,1.05758480429594,0.025159205784317,1.00884298214584,1.01654464395022,1.04050818521353,1.05738530432817,1.07444394595176,1.09930547836864,1.10746036022049
41,47,0.863509313440551,0.0223704073221171,0.820215585366413,0.827045676507204,0.848317255255997,0.863316142308085,0.878490793864672,0.900631876190035,0.907900807836148
42,48,0.877966781210797,0.0228525625058202,0.833742609886276,0.840718854893887,0.862446793662332,0.877768513025748,0.893270634683925,0.915891019916085,0.923317684650322
43,49,0.843007351603319,0.023037803702725,0.798453320594024,0.805474823156876,0.827356319112298,0.842797500960303,0.85842962424345,0.881255701605314,0.888753935273018
44,50,0.892922540134904,0.0243836882476486,0.845765156167695,0.853197047322233,0.876357250389485,0.892700595548567,0.909245886319503,0.933405108150374,0.941341205015155
45,51,0.881761782506717,0.0248803480806157,0.833665503058549,0.841240240891644,0.864855128315472,0.881527780338971,0.898413349375622,0.92308152915091,0.931187863615187
46,52,0.569135683853929,0.0204307803791707,0.529791215102827,0.535952138317292,0.555225320965382,0.56889122844098,0.582779567367354,0.603153093626069,0.609869349944133
47,53,0.581718051761239,0.0220183529772178,0.539357578384216,0.545981040180601,0.5667193649321,0.581440273041636,0.59641393470917,0.618402597740756,0.625657090122064
48,54,0.677579258942263,0.0262753966553621,0.627052185361955,0.63494705094981,0.659676517149284,0.677239650498368,0.69511179749455,0.721369909892203,0.730036262634562
49,55,0.761487159318176,0.030171219764056,0.703492922110025,0.712548771670767,0.740925623072869,0.761088720658533,0.781614362862591,0.811784666934118,0.82174564565681
50,56,0.798756298917122,0.0327183328394277,0.735908198388719,0.745712051926324,0.776451387770266,0.7983096116513,0.820574283439461,0.853324248260109,0.864142832517693
51,57,0.719227394507212,0.032458277935481,0.657008908655567,0.666683928070168,0.697076630563013,0.71873917962214,0.740845967747218,0.773436221949094,0.784220293861614
52,58,0.753780273050406,0.0349933706788214,0.686745926417404,0.697159555152288,0.729891748245975,0.753238833446198,0.777078589882839,0.812247909150774,0.823891492472062
53,59,0.793991885257246,0.0380253148975843,0.72120318693543,0.732498101259491,0.768024090394993,0.793384940395711,0.819298068886635,0.857556035569014,0.870229701156346
54,60,0.850844553096894,0.041223553295725,0.771955923402214,0.784192169072867,0.822688744384667,0.850178883226898,0.878274737241159,0.919767622561183,0.933516017492795
55,61,0.837993017439256,0.0423791284728707,0.756979649690495,0.769525091754771,0.809032710633001,0.8372787242644,0.866174700898686,0.908897491559866,0.923065523118173
56,62,0.744382311101572,0.0412275231598065,0.665761818102599,0.677891798861758,0.71617552233086,0.743621322504392,0.771759585653544,0.813468662903969,0.827327271747527
57,63,0.790786832898734,0.0444852348952988,0.705991268238172,0.719065207261696,0.760344710628113,0.789952826183735,0.820319849772572,0.865353374641908,0.8803217992187
58,64,0.829235527766952,0.0478759355177851,0.738045257554934,0.75208908530701,0.796461204620146,0.828314337179436,0.861005715123296,0.909524285734834,0.925660627366999
59,65,0.76332463660082,0.0477077897875512,0.672674474825585,0.686583663879102,0.730627508164784,0.762330954714087,0.79493862541441,0.843455213305401,0.859621531459725
60,66,0.721779870144649,0.0484426930379173,0.629949868569271,0.643989471206586,0.688542040310077,0.720696406352043,0.753836712415248,0.803266144628778,0.819766756038593
61,67,0.655501294615057,0.0488581818032795,0.56323548382389,0.577259696819143,0.621918902428973,0.654287803774675,0.687761001223199,0.737882334455685,0.754662788609422
62,68,0.685736267504045,0.0535470062797791,0.584800749820079,0.600099672549433,0.64890009974472,0.684342999345979,0.721053814784093,0.776125571598758,0.794589001695657
63,69,0.595056675519949,0.0536544535222489,0.494550274987462,0.509637675917215,0.5580424211378,0.593444835042908,0.630314156792691,0.685974034991024,0.704722088463482
64,70,0.550898475658239,0.0559352654637549,0.446741552365072,0.46223321115825,0.512210470631994,0.549006514652054,0.587524505958452,0.646017728730782,0.66580585087876
65,71,0.610068910056431,0.0650335643251588,0.489293105327682,0.507181957169771,0.565036727764418,0.607759605574675,0.652584334235237,0.720833565578492,0.743966408652745
66,72,0.630347447513069,0.0727862537009328,0.495808254201909,0.515589649640775,0.579847618090922,0.627548127655397,0.677796626368771,0.754654629079107,0.780792250104189
67,73,0.666985226774977,0.0814852145489632,0.516904389411864,0.538847328060395,0.610367066703883,0.663669843282665,0.719990475925305,0.806433062138042,0.835903540422359
68,74,0.640607528885576,0.0863795015735145,0.482593260476128,0.505448819650059,0.580425199952754,0.636729269956991,0.696563886211146,0.78899656359695,0.820656522476131
69,75,0.680475788671439,0.0962338089205677,0.505062246352131,0.530291142689085,0.613334737923864,0.675944699338499,0.742679720937427,0.846117976836632,0.88163257836248
70,76,0.84155035805586,0.115595831773774,0.630378966518323,0.660857283757916,0.760969476090391,0.836263547180806,0.916370524381985,1.04027896798972,1.08275904255185
71,77,0.878209857027435,0.124197629041794,0.651824283160534,0.684384244607943,0.791558820268551,0.872362114342822,0.958489137159523,1.0919846963502,1.13781920456877
72,78,0.799167379102702,0.121871882769617,0.578361394862417,0.609813757937671,0.713943788913608,0.792980893372465,0.877650639627629,1.00962618456592,1.05512022411052
73,79,0.921769798012183,0.135907542143421,0.674851342757532,0.710179257553176,0.826830062485418,0.915098979962928,1.00944124814016,1.15611764295715,1.20658745785826
74,80,1.02360693493698,0.147744934857559,0.75472694908586,0.793301079899142,0.920464501132963,1.01650739609182,1.1190137969855,1.278132549619,1.33282230483541
75,81,1.01166645141849,0.147566718334863,0.743334456219935,0.781778894763923,0.908615733511029,1.00450062886275,1.10690945834805,1.26599994771994,1.32071018361931
76,82,0.902740462117141,0.139295877451002,0.650615921170934,0.686472449683333,0.805296547411211,0.895586052117698,0.992389572951069,1.1434158005666,1.19551057637259
77,83,0.685901407204177,0.123191529401496,0.466036728452559,0.496603942431302,0.599288845147461,0.678540388256879,0.764495688403918,0.900312142544684,0.94758087872395
78,84,0.687150289584765,0.129859198540522,0.456606377143848,0.488383204463179,0.595685739616362,0.678987468341993,0.769723903715242,0.913766616267171,0.964061609040004
79,85,0.713022645599224,0.142604529119845,0.461430661337896,0.495753974152954,0.612373564127915,0.70353854221061,0.803342720354406,0.962649115132354,1.01848433043618
80,86,0.882958893358187,0.169925518254574,0.581875474402851,0.623241735545299,0.76319575226006,0.872082415562919,0.990875764693469,1.17978377590868,1.24582308391789
81,87,0.929434474869522,0.182277097075598,0.607137456766867,0.651267127264454,0.800877665092087,0.917546189424552,1.04504343527662,1.2481618706629,1.31925830047653
82,88,0.819977636973537,0.174819819598339,0.513875619538934,0.555115115185649,0.6962939044654,0.807587755864031,0.930169500831744,1.12711305595111,1.19644915150739
83,89,0.916407681887003,0.191084210826071,0.58092385995078,0.626324712461093,0.781331381175012,0.903161175307938,1.03705860761524,1.25168579989258,1.32712823281239
84,90,1.02223358037312,0.208662555821039,0.654964343414536,0.704874295712716,0.874849364765638,1.00807148288723,1.15419467144276,1.38791142566594,1.4699417707996
85,91,0.997138645625596,0.207917780426286,0.632100365778405,0.681500807827474,0.850162793927445,0.982725187630219,1.12841831847426,1.36195310004787,1.44404163648336
86,92,0.874431619447359,0.195528854275952,0.534125550253758,0.579514323117635,0.735840655014525,0.859901732393567,0.997202116538609,1.21892443334398,1.29725662694935
